0.000 0.000 0.000 0.000 -0.000
1.000 0.000 0.000 -0.000 0.011
2.000 0.000 0.000 -0.000 0.014
3.000 0.000 -0.000 0.000 -0.008
4.000 0.000 -0.000 0.000 -0.049
5.000 0.000 -0.000 -0.000 0.010
6.000 0.000 0.000 -0.000 -0.034
7.000 0.000 0.000 0.000 0.027
8.000 0.000 0.000 -0.000 0.001
9.000 0.000 -0.000 0.000 -0.024
10.000 0.000 0.000 0.000 -0.014
11.000 0.000 0.000 0.000 -0.017
12.000 0.000 0.000 0.000 0.015
13.000 0.000 -0.000 -0.000 -0.013
14.000 0.000 0.000 -0.000 -0.015
15.000 0.000 0.000 -0.000 -0.006
16.000 0.000 0.000 0.000 0.000
17.000 0.000 0.000 0.000 0.017
18.000 0.000 0.000 0.000 0.029
19.000 0.000 0.000 0.000 0.019
20.000 0.000 0.000 0.000 0.041
21.000 0.000 0.000 0.000 0.024
22.000 0.001 0.001 0.001 -0.035
23.000 0.011 0.011 0.011 0.018
24.000 0.073 0.073 0.073 0.057
25.000 0.288 0.288 0.288 0.228
26.000 0.684 0.684 0.684 0.572
27.000 0.987 0.987 0.987 0.883
28.000 0.863 0.863 0.863 0.781
29.000 0.458 0.458 0.458 0.441
30.000 0.147 0.147 0.147 0.139
31.000 0.029 0.029 0.029 -0.005
32.000 0.003 0.003 0.003 0.003
33.000 0.000 0.000 0.000 0.011
34.000 0.000 0.000 0.000 -0.039
35.000 0.000 0.000 0.000 -0.029
36.000 0.000 0.000 0.000 0.014
37.000 0.000 0.000 0.000 -0.033
38.000 0.000 0.000 0.000 0.017
39.000 0.002 0.002 0.002 -0.010
40.000 0.015 0.015 0.015 0.004
41.000 0.091 0.091 0.091 0.108
42.000 0.333 0.333 0.333 0.296
43.000 0.740 0.740 0.740 0.646
44.000 0.998 0.998 0.998 0.894
45.000 0.816 0.816 0.816 0.778
46.000 0.405 0.405 0.405 0.330
47.000 0.122 0.122 0.122 0.069
48.000 0.025 0.025 0.025 0.023
49.000 0.031 0.031 0.031 0.048
50.000 0.160 0.160 0.160 0.104
51.000 0.564 0.564 0.564 0.485
52.000 1.261 1.261 1.261 1.155
53.000 1.819 1.819 1.819 1.641
54.000 1.702 1.702 1.702 1.513
55.000 1.033 1.033 1.033 0.914
56.000 0.403 0.403 0.403 0.366
57.000 0.110 0.110 0.110 0.058
58.000 0.087 0.087 0.087 0.060
59.000 0.286 0.286 0.286 0.288
60.000 0.680 0.680 0.680 0.590
61.000 0.985 0.985 0.985 0.887
62.000 0.867 0.867 0.867 0.749
63.000 0.462 0.462 0.462 0.377
